TotalSteps,TotalDistance,Calories,TotalMinutesActive,TotalMinutesAsleep
13162,8.5,1985,366,327
10735,6.96999979,1797,257,384
9762,6.28000021,1745,272,412
12669,8.159999847,1863,267,340
9705,6.480000019,1728,222,700
15506,9.880000114,2035,345,304
10544,6.679999828,1786,245,360
9819,6.340000153,1775,238,325
14371,9.039999962,1949,324,361
10039,6.409999847,1788,282,430
15355,9.800000191,2013,303,277
13755,8.789999962,1970,333,245
13154,8.529999733,1898,265,366
11181,7.150000095,1837,271,341
14673,9.25,1947,303,404
10602,6.809999943,1820,314,369
14727,9.710000038,2004,333,277
15103,9.659999847,1990,328,273
14070,8.899999619,1959,319,247
12159,8.029999733,1896,319,334
11992,7.710000038,1821,258,331
10060,6.579999924,1740,255,594
12022,7.71999979,1819,263,338
12207,7.769999981,1859,291,383
12770,8.130000114,1783,310,285
3176,2.309999943,2498,120,119
18213,13.23999977,3846,482,124
3758,2.730000019,2580,156,796
6724,4.889999866,2987,295,137
3844,2.539999962,1725,176,644
4014,2.670000076,1763,184,722
2573,1.700000048,1541,82,590
678,0.469999999,2220,55,750
356,0.25,2151,32,398
980,0.680000007,2221,51,475
3761,2.599999905,2638,192,296
1675,1.159999967,2351,95,166
4414,2.74000001,1459,192,503
4993,3.099999905,1521,238,531
3335,2.069999933,1431,197,545
3821,2.369999886,1444,188,523
2547,1.580000043,1373,150,524
838,0.519999981,1214,60,437
2424,1.5,1356,141,498
7222,4.480000019,1667,327,461
2467,1.529999971,1370,153,477
2915,1.809999943,1399,162,520
12357,7.710000038,1916,432,522
3490,2.160000086,1401,164,555
6017,3.730000019,1576,260,506
6088,3.769999981,1593,286,508
6375,3.950000048,1649,331,513
7604,4.710000038,1692,352,490
4729,2.930000067,1506,233,573
3609,2.279999971,1447,191,527
7018,4.349999905,1690,355,511
6564,4.070000172,1658,345,538
12167,7.539999962,1926,475,468
8198,5.079999924,1736,383,524
4193,2.599999905,1491,229,511
5528,3.450000048,1555,258,541
10685,6.619999886,1869,401,531
254,0.159999996,1141,17,357
8580,5.320000172,1698,330,523
8891,5.510000229,1364,343,456
5079,3.420000076,1804,242,61
10352,7.010000229,2038,246,467
10129,6.699999809,2010,255,445
10465,6.920000076,2133,309,452
5472,3.619999886,1882,257,556
8247,5.449999809,1944,233,500
6711,4.440000057,2346,389,465
10080,6.75,2048,257,460
7804,5.159999847,1946,242,405
16901,11.36999989,2629,427,374
9471,6.260000229,2187,360,442
9482,6.380000114,2095,303,433
5980,3.950000048,1861,227,436
11423,7.579999924,2194,330,448
5439,3.599999905,1854,229,408
42,0.029999999,403,4,411
8856,5.980000019,1450,194,274
10035,6.710000038,1495,230,295
7641,5.110000134,1433,242,291
9010,6.059999943,1468,240,424
